,chi2,pval
motivation_other,1.275,0.259
challenge_time,0.644,0.422
trigger_routine,0.624,0.43
trigger_emotions,0.547,0.459
gender_M,0.477,0.49
trigger_social,0.371,0.543
challenge_motivation,0.233,0.629
challenge_information,0.202,0.653
trigger_supermarket,0.175,0.676
motivation_control,0.12,0.729
trigger_treats,0.114,0.735
goalsAspiration_nan,0.076,0.783
challenge_other,0.073,0.787
challenge_nan,0.051,0.821
trigger_tired,0.044,0.834
trigger_other,0.038,0.845
motivation_fitness,0.026,0.872
goalsAspiration_high,0.022,0.881
motivation_health,0.016,0.899
motivation_looks,0.01,0.92
gender_F,0.007,0.936
goalsAspiration_low,0.005,0.945
trigger_stress,0.003,0.954
goalsAspiration_medium,0.003,0.954
challenge_food,0.0,0.99
